-0.029 0.025 -0.028 -0.079 -0.048 -0.054 -0.1
-0.043 -0.073 -0.033 -0.003 0.16 -0.01 -0.063
-0.063 0.184 0.07 0.022 -0.036 0.015 0.01
0.13 0.089 0.15 -0.005 0.004 0 0.165
-0.018 0.082 -0.031 -0.014 0.046 -0.029 0.038
-0.004 0.019 0.023 0.034 0.028 -0.025 -0.021
0.092 0.204 0.185 0.011 -0.012 0.042 0.107
0.049 0.031 -0.021 0.024 -0.079 0 -0.017
-0.051 0.075 -0.081 0.048 0.104 0.01 -0.037
-0.046 -0.25 -0.153 -0.067 -0.138 -0.066 -0.077
0.031 0 0.055 0.035 0.078 0.055 0.064
0.108 -0.019 -0.023 0.005 -0.086 0 0.117
0.034 0.019 -0.054 0.076 0.042 0.037 -0.012
-0.017 -0.13 -0.06 -0.011 -0.023 -0.01 -0.066
0.052 0.043 0.098 0 0.065 0.068 0.088
-0.004 0.02 -0.056 -0.057 -0.088 0.059 0.005
-0.022 -0.06 0.063 0.032 -0.023 -0.04 -0.028
-0.035 0 -0.006 0.066 0.095 0.083 0.059
-0.049 0.319 0.075 0.015 -0.096 0.032 0.009
0.016 -0.065 0.021 -0.021 0.148 0.041 0.14
-0.032 -0.034 -0.026 0 -0.009 0.03 -0.027
-0.079 -0.089 -0.147 -0.049 -0.09 -0.053 -0.01
0.06 -0.098 0.063 0.109 -0.014 0.067 0.095
-0.013 0.043 0.02 0.005 -0.036 -0.029 0.018
0.066 -0.042 0.022 -0.039 0.048 0.229 0.058
-0.062 -0.109 -0.093 -0.061 -0.004 0.161 0.034
-0.122 -0.195 -0.031 0.006 -0.237 -0.179 -0.182
-0.016 0 -0.018 0.14 0.027 0.082 0.047
0.025 0.121 0.144 0.043 0.233 0.007 0.016
0.061 -0.027 0.01 0.04 0.011 0.032 0.021
0.111 0.278 0.283 -0.027 0.005 0.003 0.183
0.017 -0.043 -0.056 -0.005 -0.008 0.031 0.081
-0.021 -0.091 -0.053 -0.01 0.066 -0.037 0.045
0.039 -0.025 0.046 -0.021 0.026 0.087 -0.028
0.035 0.026 0.22 -0.035 0.023 0.399 0.056
-0.004 -0.15 0.04 0.131 0.07 -0.109 0.035
-0.052 0.118 0.112 -0.015 0.056 -0.145 -0.089
